"","date","user_id","type","value"
"746",866,97,2,4
"747",2497,83,4,2.88
"748",860,69,4,1.2120924
"749",3216,60,4,3
"750",2655,75,2,3.6399999
"751",1483,27,1,3.96
"752",15,52,2,0.882004499
"753",4673,46,4,2.48
"754",3260,46,2,2.8
"755",2768,78,4,2.6414814
"756",2176,23,2,2.3200002
"757",3680,94,2,3.926900625
"758",380,46,2,3
"759",524,85,4,3
"760",3560,64,2,3.116161823
"761",1773,39,4,3.94101882
"762",1748,59,2,3.2
"763",4243,53,4,2.3600001
"764",350,52,2,0
"765",3958,39,2,3.497405052
"766",273,90,2,1.531280518
"767",2909,96,2,2
"768",2790,33,4,3.92
"769",1816,45,4,1.24
"770",688,52,4,1
"771",4319,60,4,3.210017681
"772",2487,90,2,4
"773",2844,97,2,2.439254761
"774",4194,69,2,2.139314413
"775",4031,97,2,3.56
"776",1194,46,3,3.96
"777",3653,93,1,0
"778",2766,83,2,1.82437253
"779",2441,59,4,1.190903902
"780",4656,23,4,2.681696177
"781",324,52,2,2
"782",4514,6,2,4
"783",554,90,4,1.3599999
"784",1759,33,2,0.9200001
"785",4561,59,4,2.56
"786",1059,10,2,3
"787",2423,52,2,3.48
"788",1102,54,2,1.713120937
"789",732,59,4,1.878926754
"790",1226,46,4,2
"791",4612,85,3,3.719089746
"792",787,52,2,2.604870558
"793",3169,9,2,2.262941837
"794",684,73,4,3.96
"795",427,32,2,2
"796",3703,28,4,2.92
"797",3172,33,4,3.68
"798",1041,66,4,4
"799",2114,85,1,4
"800",11,90,2,1.6400001
"801",3230,17,2,2.28
"802",4291,50,4,0.90605092
"803",4411,97,2,3.96
"804",3252,66,3,3.224822998
"805",357,90,4,4
"806",4174,12,4,0.03999996
"807",263,25,2,1.52
"808",3090,17,2,3.840924978
"809",237,10,2,3.96
"810",38,90,4,3.114515066
"811",209,17,2,1
"812",4271,25,1,3.44
"813",1453,17,4,1
"814",2398,12,4,0.07999992
"815",3406,19,2,2.08
"816",2691,46,2,1
"817",179,6,4,1
"818",995,78,4,1.3599999
"819",1098,56,2,3.12
"820",2066,39,4,3.767813206
"821",2153,81,2,2.04
"822",3548,52,4,2.582784653
"823",3259,72,4,3.559441328
"824",614,80,2,2.285411835
"825",3157,96,3,3.422068119
"826",4498,34,4,2.6799998
"827",1902,60,4,3.624710083
"828",4017,9,4,2.564371347
"829",39,60,2,2
"830",4687,90,1,3.92
"831",3315,9,4,4
"832",3381,90,2,2.650499344
"833",4211,39,2,1.6400001
"834",284,64,2,1.6400001
"835",296,53,2,3.11830616
"836",3064,33,4,0
"837",3848,90,2,4
"838",1379,4,2,3.32
"839",1155,46,2,3.468124866
"840",2901,10,4,1
"841",3163,54,2,0.20000005
"842",449,52,1,3.6399999
"843",1552,5,2,2.409512043
"844",2095,28,4,4
"845",3966,80,4,2.72
"846",2352,90,2,2.24
"847",2393,47,4,1.987589598
"848",199,52,2,1.76
"849",3762,90,4,3.497405052
"850",2073,90,2,1.5999999
"851",1994,64,4,0.68000007
"852",645,60,4,2.362475634
"853",3485,23,2,1.44
"854",625,59,3,1.683354378
"855",3808,6,4,1
"856",1017,10,3,1.52
"857",1282,17,4,3.88
"858",4676,17,2,2.48
"859",4272,32,2,1.8800001
"860",456,23,2,0.76
"861",1245,34,2,1
"862",4214,54,3,1.3599999
"863",3521,32,3,4
"864",4666,19,2,2.597705126
"865",984,90,4,2.52
"866",156,45,2,1.56
"867",996,90,1,3.72
"868",2835,52,4,3.770696163
"869",1144,86,4,2.741368294
"870",23,28,2,4
"871",3932,78,4,1.637645483
"872",3831,57,2,2.88
"873",482,97,4,0.31999993
"874",383,32,4,0.44000006
"875",3374,35,2,4
"876",510,5,2,3
"877",3063,82,1,1.942365408
"878",4406,10,2,3.48
"879",1828,97,2,4
"880",4508,2,2,1.24
"881",2070,91,4,4
"882",2443,50,4,2.4
"883",4347,37,2,4
"884",4475,33,2,4
"885",1474,50,4,1.6400001
"886",3340,75,3,2.56
"887",2129,80,2,4
"888",1828,33,4,4
"889",836,52,2,0
"890",3515,90,3,2.057616234
"891",3182,32,1,3.12
"892",140,78,4,2
"893",3266,90,2,0.03999996
"894",1875,97,4,1.72
"895",3198,13,4,0.96000004
"896",4698,7,2,2.04
"897",75,90,2,0.878174782
"898",1493,23,3,3.6
"899",3988,66,2,1.72
"900",3991,99,4,4
"901",1397,32,4,1.52
"902",1877,86,2,0.915207624
"903",3966,17,4,4
"904",1261,75,2,4
"905",4586,17,2,2.8400002
"906",361,64,3,1.167749643
"907",2123,17,2,2
"908",512,34,1,3.2
"909",2132,57,3,4
"910",4566,48,2,3.605016232
"911",791,74,2,2.44
